"b0_chain","dt_chain.1","dt_chain.2","dt_chain.3","dt_chain.4","dt_chain.5","dt_chain.6","dt_chain.7","dt_chain.8","mu_chain.Reference","mu_chain.epoch_trial1","mu_chain.epoch_trial2","mu_chain.epoch_trial3","mu_chain.epoch_trial4","mu_chain.epoch_trial5","mu_chain.epoch_trial6","mu_chain.epoch_trial7","mu_chain.epoch_trial8"
126.553718703844,137.198862271138,-56.5349924915145,-39.8600608289785,-31.9243499013197,-26.9566135773787,-20.2361692684136,-26.2878700421977,-16.9801501657367,126.553718703844,263.752580974982,70.0187262123294,86.6936578748653,94.6293688025242,99.5971051264652,106.31754943543,100.265848661646,109.573568538107
126.840815692769,136.553052841551,-56.5038730375347,-39.7165452392661,-31.4961228847671,-26.8029664712371,-19.3635673232729,-27.5193959950498,-18.2467592342381,126.840815692769,263.39386853432,70.3369426552346,87.1242704535032,95.3446928080022,100.037849221532,107.477248369496,99.3214196977195,108.594056458531
127.261490554492,136.781253720989,-56.7706932419487,-39.6166225432241,-32.1802906296733,-26.6424708420997,-18.6633308606013,-26.8608880994198,-18.3656660452771,127.261490554492,264.042744275481,70.4907973125436,87.6448680112682,95.0811999248189,100.619019712393,108.598159693891,100.400602455072,108.895824509215
126.737048670803,137.494090255222,-56.6759601724701,-39.2567980733099,-31.6839881529599,-26.6821845069111,-18.2224857335545,-26.7240468545708,-19.5147761476683,126.737048670803,264.231138926025,70.0610884983329,87.4802505974932,95.0530605178432,100.054864163892,108.514562937249,100.013001816232,107.222272523135
126.30037521103,137.446987748077,-56.925082079031,-39.4837092663163,-32.1815833915628,-26.6212463498101,-17.9855491405659,-26.7240468545708,-20.4131888719721,126.30037521103,263.747362959108,69.3752931319993,86.8166659447141,94.1187918194675,99.6791288612203,108.314826070465,99.5763283564596,105.887186339058
126.728442298967,137.241475829049,-56.925082079031,-39.5968844265996,-30.7909153019506,-26.7568856579135,-17.8543928382247,-25.6155155409321,-21.3899283626886,126.728442298967,263.969918128015,69.8033602199359,87.1315578723673,95.9375269970163,99.9715566410534,108.874049460742,101.112926758035,105.338513936278
126.615399496087,137.241475829049,-56.7991793187068,-39.1311799912718,-30.8126576905072,-26.2262455875397,-17.5068542610506,-25.5903524901536,-19.9476276982378,126.615399496087,263.856875325135,69.81622017738,87.484219504815,95.8027418055796,100.389153908547,109.108545235036,101.025047005933,106.667771797849
125.197164346586,137.800761103699,-56.569889752153,-39.352724715498,-30.6626360225459,-26.2701970897623,-17.8131201147529,-25.948605859987,-19.927462846648,125.197164346586,262.997925450285,68.6272745944328,85.8444396310879,94.53452832404,98.9269672568236,107.384044231833,99.2485584865988,105.269701499938
126.881155829178,138.274655325699,-56.7642826805456,-38.8765148704915,-30.7290923116307,-25.3984144821258,-18.4905689651877,-25.9853361311811,-19.927462846648,126.881155829178,265.155811154877,70.1168731486326,88.0046409586867,96.1520635175475,101.482741347052,108.390586863991,100.895819697997,106.95369298253
125.647867068925,138.335120841528,-56.4718996531144,-38.9748246663311,-29.3569157857727,-25.9723842634507,-17.5193024758838,-25.9942179209921,-19.7476932698465,125.647867068925,263.982987910453,69.1759674158106,86.6730424025939,96.2909512831523,99.6754828054743,108.128564593041,99.6536491479329,105.900173799078
125.018088193802,138.677867112216,-56.4640177902884,-37.9355350300647,-29.4123825830625,-26.1896431554842,-18.2476383619561,-24.7151254745873,-19.7476932698465,125.018088193802,263.695955306018,68.5540704035132,87.0825531637368,95.605705610739,98.8284450383173,106.770449831845,100.302962719214,105.270394923955
124.847080219213,139.573692493579,-56.4640177902884,-38.8968859125839,-28.7532882469814,-26.2079098415502,-17.4476596882799,-25.0065961891914,-19.2327346872234,124.847080219213,264.420772712792,68.3830624289244,85.9501943066289,96.0937919722314,98.6391703776626,107.399420530933,99.8404840300213,105.614345531989
125.764193230059,139.767991594439,-55.882512297905,-40.7117192656291,-28.7532882469814,-26.2079098415502,-17.0878476461863,-24.0539673792294,-19.2327346872234,125.764193230059,265.532184824498,69.8816809321545,85.0524739644303,97.0109049830781,99.5562833885093,108.676345583873,101.71022585083,106.531458542836
124.745693187672,139.823866889523,-55.9241869126768,-40.7117192656291,-28.9398420455108,-26.2079098415502,-16.8883615316238,-24.5820178807864,-19.2087488246436,124.745693187672,264.569560077195,68.8215062749953,84.033973922043,95.8058511421614,98.5377833461219,107.857331656048,100.163675306886,105.536944363029
125.106654453873,140.196059269639,-55.7575330403512,-40.3785851304267,-29.5119113434821,-26.6405093695263,-16.8131909072351,-24.3033816239195,-19.2087488246436,125.106654453873,265.302713723513,69.3491214135219,84.7280693234464,95.5947431103911,98.4661450843468,108.293463546638,100.803272829954,105.89790562923
124.521664928453,139.601592124315,-55.7575330403512,-40.513855585326,-29.8808513159094,-26.3387291256858,-16.8311410555121,-24.4382221354034,-18.6011533692397,124.521664928453,264.123257052768,68.7641318881019,84.0078093431271,94.6408136125437,98.1829358027673,107.690523872941,100.08344279305,105.920511559213
125.913536119702,138.194123356616,-55.6147984112842,-40.4941050739968,-29.8891700463719,-26.3387291256858,-16.2592465093725,-24.4289838694186,-19.3937049582871,125.913536119702,264.107659476318,70.2987377084174,85.4194310457048,96.0243660733297,99.5748069940158,109.654289610329,101.484552250283,106.519831161415
124.817976291974,138.343105895704,-55.8088613569852,-40.8391591101764,-30.0989530135787,-26.3387291256858,-17.043605859038,-24.1543092073763,-19.4948197123997,124.817976291974,263.161082187678,69.0091149349886,83.9788171817974,94.7190232783952,98.479247166288,107.774370432936,100.663667084598,105.323156579574
