mcmc_iteration,shifted_epoch_trial,v,v_est_z,a,a_est_z,r_z,theta_radians_z,theta_deg_z
0,-1,1.1658469315523987,1.5234140801135108,0.7993371829308455,-0.4394725887677416,,,
0,0,-0.8260851698786457,-1.2381328155684723,0.8309020820688826,1.5685851612216342,3.414445369945636,-0.9420805700210166,-53.977240623483084
0,1,-0.5335489755629741,-0.8325705884691215,0.8059683151038912,-0.017621205905495502,1.6372328359657438,2.891274712128723,165.65783841787785
0,2,0.14989069636380353,0.11492692062739579,0.7918865350648353,-0.9134589343079565,1.3039466113968723,2.3281766552867387,133.39469630881445
0,3,0.6030513048584848,0.7431733707623159,0.8017415108610376,-0.286516949257393,0.8875527334903937,0.7864374213910351,45.05954509685776
1,-1,1.0757608237015843,1.3985217651090172,0.8085935903245934,0.14939039231733947,,,
1,0,-0.8653601984646917,-1.2925823789806472,0.8341874295962969,1.7775884447418022,3.1453251679683896,-1.02668669027859,-58.824814235218334
1,1,-0.5739982689979413,-0.8886481127168676,0.8073409582287963,0.06970195178562726,1.7550040354039647,2.9093490741263044,166.69342307773093
1,2,0.17547868775054287,0.1504012413283986,0.7882503512878312,-1.1447812959561832,1.5983094566407912,2.4338861900737068,139.45140650639908
1,3,0.4587503737924503,0.543119469355164,0.7898404007351102,-1.0436274446002198,0.4055363217624616,1.3187023609220074,75.55607971476844
2,-1,1.0969624704090937,1.4279150067794564,0.8048700802411342,-0.08748738915619171,,,
2,0,-0.8121258505586714,-1.21878009018882,0.8354501138860122,1.8579163736436006,3.284751244254503,-0.9369442103884854,-53.682948894477676
2,1,-0.5084825148773264,-0.797819300188535,0.8088761389985392,0.16736523367465672,1.7421742575207453,2.897547837547206,166.0172620287132
2,2,0.05370902855968029,-0.018416071312526525,0.7890212659123533,-1.0957381775358734,1.4842168374580669,2.5887276078357653,148.32316623798704
2,3,0.5082636805947714,0.6117630333585091,0.7916918734165636,-0.9258426846797979,0.6526792339708664,1.3074585254089817,74.91185539433276
3,-1,1.1276306031946408,1.4704322626786142,0.8142136291872127,0.5069192582887444,,,
3,0,-0.8430059224672115,-1.261591171277478,0.8380764990195427,2.024998580964439,3.1254626655298146,-1.0636171248679127,-60.940772272770474
3,1,-0.6500344120523823,-0.9940620345371801,0.8102312583443295,0.25357358468426744,1.791512868067437,2.991700590491046,171.41181740193318
3,2,0.06405864187628793,-0.004067719526110902,0.8009458789351387,-0.33713250319765753,1.1528323494832216,2.1087683035770795,120.823523765929
