mcmc_iteration,shifted_epoch_trial,v,v_est_z,a,a_est_z,r_z,theta_radians_z,theta_deg_z
0,-1,1.1658469315523987,1.5234140801135108,0.7993371829308455,-0.4394725887677416,,,
0,0,-0.8260851698786457,-1.2381328155684723,0.8309020820688826,1.5685851612216342,1.9921821803161202,-1.5549512799421539,-89.0921456891508
0,1,-0.5335489755629741,-0.8325705884691215,0.8059683151038912,-0.017621205905495502,0.29359686258500933,1.6558239255813945,94.87172255259802
0,2,0.14989069636380353,0.11492692062739579,0.7918865350648353,-0.9134589343079565,0.6835847289783834,1.5913976883824386,91.18037107118909
0,3,0.6030513048584848,0.7431733707623159,0.8017415108610376,-0.286516949257393,0.45326775490786186,1.5490525510885556,88.75417342134757
1,-1,1.0757608237015843,1.3985217651090172,0.8085935903245934,0.14939039231733947,,,
1,0,-0.8653601984646917,-1.2925823789806472,0.8341874295962969,1.7775884447418022,1.9412897432646457,-1.5576120090722811,-89.2445942387346
1,1,-0.5739982689979413,-0.8886481127168676,0.8073409582287963,0.06970195178562726,0.29259614995326527,1.6626782016701411,95.26444364410064
1,2,0.17547868775054287,0.1504012413283986,0.7882503512878312,-1.1447812959561832,0.7497200544005366,1.5962627265274878,91.45911722407057
1,3,0.4587503737924503,0.543119469355164,0.7898404007351102,-1.0436274446002198,0.2832761486081554,1.5651832252164088,89.67839296957443
2,-1,1.0969624704090937,1.4279150067794564,0.8048700802411342,-0.08748738915619171,,,
2,0,-0.8121258505586714,-1.21878009018882,0.8354501138860122,1.8579163736436006,1.9093332228066533,-1.5547795619879534,-89.0823069751085
2,1,-0.5084825148773264,-0.797819300188535,0.8088761389985392,0.16736523367465672,0.30480395575683394,1.658090979443589,95.00161517083059
2,2,0.05370902855968029,-0.018416071312526525,0.7890212659123533,-1.0957381775358734,0.5625420406488322,1.6060985731495523,92.02266972345286
2,3,0.5082636805947714,0.6117630333585091,0.7916918734165636,-0.9258426846797979,0.454562497167534,1.564921176766802,89.66337869938403
3,-1,1.1276306031946408,1.4704322626786142,0.8142136291872127,0.5069192582887444,,,
3,0,-0.8430059224672115,-1.261591171277478,0.8380764990195427,2.024998580964439,1.970781000727694,-1.5586876993228678,-89.30622675015658
3,1,-0.6500344120523823,-0.9940620345371801,0.8102312583443295,0.25357358468426744,0.19497015479308896,1.7141043116044372,98.21094270011159
3,2,0.06405864187628793,-0.004067719526110902,0.8009458789351387,-0.33713250319765753,0.714153420449659,1.5837986324331874,90.74497723701322
3,3,0.4875651142748476,0.5830672452215598,0.7948639053151287,-0.7240481784064778,0.4235501417383619,1.5851563329730247,90.82276774778853
4,-1,1.1701192440865045,1.5293370688576888,0.8142811881869036,0.5112171453916808,,,
4,0,-0.936016886216698,-1.3905384069901083,0.8291604172897887,1.4577860282274622,2.1061886883247767,-1.5637317399644413,-89.5952289906112
4,1,-0.4568111873229124,-0.7261839296349174,0.7988339279305059,-0.47148805947251476,0.48016434458333135,1.6339969539562773,93.621129198927
4,2,0.11528750601609998,0.06695423480304342,0.7994334595243644,-0.43334778035594673,0.5720990074788955,1.5697483758357875,89.93995683290636
4,3,0.5657372255638307,0.6914424007320855,0.7885004520590851,-1.1288706862058202,0.45058237925252365,1.5950628783830985,91.39037098934045
5,-1,1.1581112612794104,1.5126896100308995,0.7997457250068121,-0.4134824508536706,,,
5,0,-0.8205044417305616,-1.2303958839321405,0.8240773745531197,1.134419135266428,1.9787653042660946,-1.5584996371890045,-89.2954515836
5,1,-0.5322426079561463,-0.8307594848644038,0.8082875189016767,0.12991910903680567,0.28869396313827217,1.625517729723578,93.13530543684827
5,2,0.16157875815213424,0.13113085183816112,0.8028858255267384,-0.21371931658199225,0.6938423930257344,1.578581593299313,90.44606291308763
5,3,0.530491971732783,0.6425795799387821,0.7962432655604158,-0.6362976990381416,0.3689730108792614,1.5888001336696647,91.03154214909283
6,-1,1.1212205678242386,1.4615456077240458,0.7971562411986275,-0.5782171140869524,,,
6,0,-0.8708629549377901,-1.30021121333954,0.843488097606859,2.3692671444586635,1.9926222428192977,-1.5475425302397883,-88.66765559973645
6,1,-0.6040319253076105,-0.9302857520160994,0.8005969256175004,-0.35933179522782516,0.2702562691375031,1.7301757827566027,99.13177016769693
6,2,0.16320944033113027,0.13339157413186542,0.7927301554609818,-0.8597905076444389,0.7672816948291517,1.5810492860942005,90.58745129536952
6,3,0.4958995921609698,0.5946218818063187,0.7993279589287192,-0.44005939022953916,0.3327555681504978,1.5509672495781388,88.86387756384076
7,-1,1.0232299695075795,1.3256947760651847,0.8036473643162605,-0.16527265874443708,,,
7,0,-0.8459729948264172,-1.2657046194502053,0.8278049466281903,1.3715553276317467,1.8693590641335223,-1.557873044574924,-89.25955047133911
7,1,-0.6211907176142983,-0.954074117891695,0.8034400937762932,-0.17845854640736378,0.22609891243250252,1.678767910593064,96.1863160589781
7,2,0.1401268051736091,0.1013905940695342,0.804091515479253,-0.13701718480442876,0.7613178014825025,1.569940676524826,89.95097485078573
7,3,0.44517037279373056,0.5242926179908878,0.8003990264170483,-0.3719215082963414,0.30506591520831383,1.5829005280351163,90.69351964544161
8,-1,1.1302989941090336,1.474131629058027,0.8060742640346569,-0.0108810743879934,,,
8,0,-0.9769820750533852,-1.4473311510709466,0.8283570305523399,1.4066771380226208,2.1073988768465233,-1.560222542216947,-89.39416677020297
8,1,-0.6199488660894839,-0.9523524571881069,0.7941412107370415,-0.7700236919684607,0.3586689763956367,1.6663382686013117,95.47415003199211
8,2,0.1968820713718504,0.18007416419261127,0.7995662299379787,-0.424901352034998,0.8168489525164936,1.5641548797240588,89.61947311298147
8,3,0.4932712174621996,0.5909779925468087,0.7942457195486344,-0.7633751762186182,0.29643689674358936,1.588745496232701,91.0284116545514
9,-1,1.093285504276538,1.422817386031444,0.7993004968908486,-0.44180643709116424,,,
9,0,-0.8808529535651191,-1.3140610075555919,0.8204600246317371,0.9042949231696246,1.974251852308528,-1.5600783766830892,-89.38590669356167
9,1,-0.4724884427583639,-0.7479183431972479,0.7993330795342692,-0.4397336337107428,0.40891065221585005,1.62248575022413,92.96158580795972
9,2,0.16617111219638456,0.13749753524351468,0.7991758414414037,-0.4497366173918035,0.638659574310771,1.57104252696284,90.01410623053857
9,3,0.4380266766475061,0.5143888406974103,0.7941247284354083,-0.7710722431894697,0.2719024855819403,1.589374323849259,91.06444082302144
10,-1,1.2121601189421896,1.5876211074381528,0.8113726942388044,0.3261880791577933,,,
10,0,-0.8819006242377034,-1.3155134625320912,0.8242376903254302,1.1446179110529666,2.0941002612700843,-1.5646528401381443,-89.64800414307317
10,1,-0.5005792655491034,-0.78686250420514,0.807378161912234,0.07206873092623516,0.3816938855816731,1.614980989074437,92.53159466782856
10,2,0.16400292483835238,0.1344916340566574,0.8051030032906882,-0.07266957102337564,0.6645860848129019,1.5742197554787578,90.19614801504927
10,3,0.5116667821123855,0.6164809775218197,0.8039007044552621,-0.14915597079682774,0.3476659361760207,1.5742545351114103,90.19814074121328
11,-1,1.153162026713925,1.5058281596127356,0.8098891142858828,0.2318074759071684,,,
11,0,-0.8137656911331691,-1.22105350937046,0.8288819565647991,1.440071249085044,1.967019414061033,-1.5611405311899509,-89.44676366399564
