"bic","subj_id","model","null_adj_bic","subj_id_anon"
2926.18579017712,"786","abs_null_m",0,"1"
2755.97966114354,"786","time_null_m",-170.20612903358,"1"
2751.20090079235,"786","conditional_m",-174.984889384772,"1"
2786.66101642452,"786","conditional_time_m",-139.524773752594,"1"
2773.93948341893,"786","vol_time_m",-152.246306758183,"1"
2751.87918754319,"786","conflict_time_m",-174.306602633927,"1"
2804.75163809011,"786","vol_conflict_time_m",-121.434152087009,"1"
2986.05439898087,"787","abs_null_m",0,"2"
2764.6478055695,"787","time_null_m",-221.406593411363,"2"
2775.22014911599,"787","conditional_m",-210.83424986488,"2"
2816.35405934099,"787","conditional_time_m",-169.700339639872,"2"
3105.78374514459,"787","vol_time_m",119.729346163723,"2"
3182.27357196943,"787","conflict_time_m",196.219172988568,"2"
2869.47966927058,"787","vol_conflict_time_m",-116.574729710288,"2"
3056.148812227,"788","abs_null_m",0,"3"
2825.05273109651,"788","time_null_m",-231.09608113049,"3"
2835.6979555117,"788","conditional_m",-220.450856715301,"3"
2949.86909946063,"788","conditional_time_m",-106.279712766375,"3"
2894.75121405094,"788","vol_time_m",-161.397598176057,"3"
3004.88948712308,"788","conflict_time_m",-51.2593251039175,"3"
2905.19196021017,"788","vol_conflict_time_m",-150.95685201683,"3"
3009.59149458413,"789","abs_null_m",0,"4"
2797.92303189776,"789","time_null_m",-211.668462686377,"4"
2810.1576390045,"789","conditional_m",-199.433855579635,"4"
2847.90872940285,"789","conditional_time_m",-161.682765181287,"4"
2881.17836598213,"789","vol_time_m",-128.413128602009,"4"
2824.34228174789,"789","conflict_time_m",-185.249212836246,"4"
2874.75973143861,"789","vol_conflict_time_m",-134.831763145521,"4"
